#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-10-28T15:29:49 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-10-28T15:29:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=V/19/data,V/19/clusters&-source=V/19/data V/19/clusters&Cl=25&-out=B-V&-out=Vmag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5019
#Name: V/19
#Title: Masses and Ages of Stars in 68 Open Clusters (Piskunov 1980)
#INFO	ivoid=ivo://cds.vizier/v/19	    IVOID of underlying data collection
#INFO	creator=Piskunov A.	    First author or institution
#INFO	cites=bibcode:1980BICDS..19...67P	    Article or Data origin sources
#INFO	original_date=1980	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/19	    Dataset landing page
#INFO	publication_date=1999-03-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_19_data:
#Name: V/19/data
#Title: Data for individual stars
#Column	B-V	(F6.3)	B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
B-V;Vmag
mag;mag
------;------
 1.370; 9.710
 1.370; 9.710
 1.370; 9.710
 1.350; 9.710
 1.350; 9.710
 1.350; 9.710
 1.260;10.310
 1.260;10.310
 1.260;10.310
 1.180;10.340
 1.180;10.340
 1.180;10.340
 1.100;10.490
 1.130;10.530
 1.100;10.590
 1.100;10.600
 1.100;10.610
 0.100;10.740
 1.130;10.760
 0.940;10.780
 0.220;10.940
 0.110;11.030
 0.220;11.040
 0.260;11.040
 0.410;11.250
 1.100;11.280
 0.120;11.290
 0.630;11.320
 1.100;11.340
 1.060;11.450
 0.170;11.490
 1.050;11.500
 0.880;11.520
 1.140;11.560
 0.570;12.060
 0.450;12.140
 0.840;12.190
 0.990;12.200
 0.580;12.270
 1.000;12.270
 0.290;12.280
 0.840;12.300
 0.600;12.300
 0.400;12.360
 0.400;12.360
 0.400;12.360
 0.940;12.400
 0.520;12.420
 0.980;12.440
 0.660;12.470
 0.650;12.520
 0.610;12.540
 0.590;12.550
 0.600;12.560
 0.610;12.590
 0.650;12.590
 0.780;12.600
 0.810;12.620
 0.640;12.620
 0.600;12.620
 0.630;12.640
 0.610;12.650
 0.590;12.660
 0.720;12.660
 0.620;12.660
 0.610;12.660
 0.730;12.670
 0.590;12.680
 0.880;12.690
 0.680;12.690
 0.720;12.700
 0.620;12.700
 0.570;12.710
 0.560;12.720
 0.600;12.720
 0.570;12.720
 0.560;12.740
 0.570;12.750
 0.560;12.750
 0.620;12.750
 0.460;12.770
 0.460;12.770
 0.460;12.770
 0.750;12.770
 0.860;12.780
 0.550;12.780
 0.570;12.780
 0.500;12.800
 0.500;12.800
 0.500;12.800
 0.730;12.800
 0.570;12.810
 0.760;12.830
 0.710;12.830
 0.870;12.830
 0.570;12.830
 0.570;12.830
 0.550;12.850
 0.620;12.850
 0.970;12.860
 0.550;12.870
 0.530;12.880
 0.550;12.880
 0.510;12.890
 0.510;12.890
 0.510;12.890
 0.570;12.890
 0.720;12.890
 0.490;12.910
 0.490;12.910
 0.490;12.910
 1.000;12.910
 0.500;12.920
 0.500;12.920
 0.500;12.920
 0.890;12.930
 0.540;12.940
 0.550;12.950
 0.950;12.950
 0.890;12.960
 0.810;12.970
 0.890;12.980
 0.620;13.030
 0.860;13.050
 0.520;13.100
 0.520;13.100
 0.520;13.100
 0.540;13.100
 0.540;13.100
 0.540;13.100
 0.650;13.110
 0.600;13.110
 0.520;13.110
 0.520;13.110
 0.520;13.110
 0.610;13.120
 0.640;13.120
 0.570;13.130
 0.600;13.160
 0.610;13.170
 0.540;13.170
 0.540;13.170
 0.540;13.170
 0.600;13.180
 0.580;13.200
 0.580;13.200
 0.580;13.200
 0.590;13.210
 0.620;13.240
 0.600;13.240
 0.550;13.250
 0.550;13.250
 0.550;13.250
 0.520;13.260
 0.590;13.260
 0.590;13.260
 0.590;13.260
 0.600;13.270
 0.490;13.270
 0.570;13.280
 0.570;13.280
 0.570;13.280
 0.610;13.300
 0.550;13.300
 0.550;13.300
 0.550;13.300
 0.620;13.310
 0.580;13.310
 0.580;13.310
 0.580;13.310
 0.580;13.320
 0.580;13.320
 0.580;13.320
 0.620;13.320
 0.590;13.330
 0.590;13.330
 0.590;13.330
 0.560;13.340
 0.560;13.340
 0.560;13.340
 0.800;13.340
 0.550;13.350
 0.580;13.360
 0.580;13.360
 0.580;13.360
 0.510;13.380
 0.510;13.380
 0.630;13.390
 0.530;13.410
 0.610;13.410
 0.610;13.410
 0.610;13.410
 0.550;13.410
 0.560;13.410
 0.560;13.420
 0.610;13.430
 0.610;13.430
 0.610;13.430
 0.580;13.440
 0.580;13.440
 0.580;13.440
 0.660;13.440
 0.550;13.450
 0.500;13.460
 0.530;13.470
 0.550;13.470
 0.510;13.470
 0.520;13.490
 0.560;13.490
 0.470;13.500
 0.570;13.500
 0.490;13.500
 1.070;13.520
 0.530;13.530
 0.510;13.540
 0.670;13.540
 0.600;13.540
 0.600;13.540
 0.600;13.540
 0.550;13.550
 0.540;13.570
 0.470;13.580
 0.530;13.590
 0.510;13.600
 0.570;13.610
 0.610;13.620
 0.600;13.620
 0.560;13.620
 0.520;13.650
 0.590;13.650
 0.600;13.660
 0.580;13.670
 0.490;13.680
 0.620;13.690
 0.600;13.690
 0.560;13.700
 0.550;13.710
 0.470;13.710
 0.530;13.720
 0.590;13.740
 0.630;13.750
 0.540;13.760
 0.580;13.760
 0.510;13.770
 0.510;13.770
 0.560;13.780
 0.520;13.800
 0.560;13.800
 0.490;13.810
 0.640;13.810
 0.580;13.830
 0.570;13.840
 0.530;13.840
 0.590;13.860
 0.580;13.860
 0.610;13.870
 0.540;13.880
 0.560;13.890
 0.530;13.900
 0.620;13.910
 0.580;13.940
 0.670;13.960
 0.630;13.960
 0.590;13.970
 0.610;13.980
 0.510;13.980
 0.550;13.990
 0.590;14.010
 0.750;14.020
 0.620;14.040
 0.600;14.040
 0.610;14.050
 0.640;14.050
 0.540;14.060
 0.650;14.070
 0.530;14.070
 0.590;14.080
 0.600;14.080
 0.590;14.080
 0.640;14.100
 0.660;14.120
 0.620;14.120
 0.650;14.120
 0.630;14.140
 0.630;14.140
 0.500;14.140
 0.620;14.140
 0.590;14.150
 0.720;14.150
 0.720;14.160
 0.610;14.160
 0.620;14.170
 0.580;14.170
 0.570;14.180
 0.500;14.180
 0.580;14.190
 0.540;14.190
 0.670;14.190
 0.570;14.200
 0.600;14.200
 0.510;14.200
 0.640;14.200
 0.540;14.210
 0.680;14.220
 0.770;14.220
 0.770;14.220
 0.770;14.220
 0.610;14.220
 0.810;14.240
 0.620;14.250
 0.600;14.260
 0.590;14.270
 0.650;14.300
 0.860;14.300
 0.790;14.330
 0.790;14.330
 0.790;14.330
 0.640;14.340
 0.630;14.350
 0.670;14.370
 0.730;14.380
 0.700;14.390
 0.720;14.400
 0.720;14.400
 0.640;14.400
 0.720;14.430
 0.700;14.440
 0.720;14.480
 0.630;14.490
 0.710;14.500
 0.880;14.500
 0.690;14.510
 0.680;14.510
 0.740;14.540
 0.660;14.540
 0.660;14.540
 0.680;14.550
 0.820;14.560
 0.820;14.560
 0.820;14.560
 0.730;14.560
 0.590;14.560
 0.730;14.560
 0.740;14.560
 0.680;14.570
 1.020;14.570
 0.900;14.570
 0.780;14.580
 0.800;14.600
 0.840;14.600
